id	multiplicon	genome	list	first	last	order
79	12	ath	5	AT5G41310	AT5G41570	8
80	12	ath	5	AT5G52320	AT5G52830	9
81	13	ath	2	AT2G45970	AT2G46130	0
82	13	ath	3	AT3G61440	AT3G61530	1
83	13	ath	1	AT1G01480	AT1G01600	2
84	13	ath	4	AT4G01250	AT4G01420	3
85	13	ath	1	AT1G63710	AT1G64000	4
86	13	ath	4	AT4G23410	AT4G23550	5
87	13	ath	4	AT4G36770	AT4G36880	6
88	13	ath	4	AT4G38920	AT4G39220	7
89	13	ath	5	AT5G41310	AT5G41570	8
90	13	ath	1	AT1G18520	AT1G18860	9
91	14	ath	2	AT2G45960	AT2G46160	0
92	14	ath	3	AT3G61430	AT3G61550	1
93	14	ath	1	AT1G01470	AT1G01620	2
94	14	ath	4	AT4G00790	AT4G01420	3
95	14	ath	1	AT1G63710	AT1G64050	4
96	14	ath	4	AT4G23330	AT4G23580	5
97	14	ath	4	AT4G36740	AT4G36880	6
98	14	ath	4	AT4G38840	AT4G39240	7
99	14	ath	1	AT1G19460	AT1G19830	8
100	15	ath	2	AT2G46110	AT2G46455	0
101	15	ath	3	AT3G61520	AT3G61790	1
102	15	ath	1	AT1G01320	AT1G01470	2
103	15	ath	4	AT4G00990	AT4G01245	3
104	15	ath	1	AT1G63980	AT1G64430	4
105	15	ath	4	AT4G23550	AT4G23910	5
106	15	ath	4	AT4G27880	AT4G28010	6
107	16	ath	2	AT2G46170	AT2G46420	0
108	16	ath	3	AT3G61560	AT3G61700	1
109	16	ath	1	AT1G01380	AT1G01460	2
110	16	ath	4	AT4G01050	AT4G01240	3
111	16	ath	1	AT1G64060	AT1G64400	4
112	16	ath	4	AT4G23590	AT4G23850	5
113	16	ath	4	AT4G27930	AT4G28005	6
114	16	ath	4	AT4G11030	AT4G11230	7
115	17	ath	2	AT2G46270	AT2G46430	0
116	17	ath	3	AT3G61620	AT3G61760	1
117	17	ath	1	AT1G01340	AT1G01450	2
118	17	ath	4	AT4G01010	AT4G01120	3
119	17	ath	1	AT1G64210	AT1G64430	4
120	17	ath	4	AT4G23740	AT4G23890	5
121	17	ath	4	AT4G27900	AT4G27960	6
122	17	ath	5	AT5G53130	AT5G53320	7
123	18	ath	2	AT2G45900	AT2G46300	0
124	18	ath	3	AT3G61360	AT3G61620	1
125	18	ath	1	AT1G01450	AT1G01670	2
126	18	ath	4	AT4G01100	AT4G01360	3
127	18	ath	1	AT1G63630	AT1G64350	4
128	18	ath	4	AT4G23330	AT4G23740	5
129	18	ath	5	AT5G46100	AT5G46800	6
130	19	ath	2	AT2G45900	AT2G46160	0
131	19	ath	3	AT3G61370	AT3G61550	1
132	19	ath	1	AT1G01470	AT1G01670	2
133	19	ath	4	AT4G01250	AT4G01350	3
134	19	ath	1	AT1G63640	AT1G64050	4
135	19	ath	4	AT4G23330	AT4G23580	5
136	19	ath	3	AT3G27473	AT3G27910	6
137	20	ath	2	AT2G45830	AT2G46430	0
138	20	ath	3	AT3G61270	AT3G61760	1
139	20	ath	1	AT1G01340	AT1G01740	2
140	20	ath	4	AT4G00690	AT4G01420	3
141	20	ath	1	AT1G63300	AT1G64430	4
142	20	ath	5	AT5G41140	AT5G42080	5
143	21	ath	2	AT2G45830	AT2G46260	0
144	21	ath	3	AT3G61270	AT3G61600	1
145	21	ath	1	AT1G01460	AT1G01740	2
146	21	ath	4	AT4G00695	AT4G01420	3
147	21	ath	1	AT1G63340	AT1G64210	4
148	21	ath	5	AT5G41150	AT5G41680	5
149	21	ath	1	AT1G65860	AT1G66830	6
150	22	ath	2	AT2G45850	AT2G46110	0
151	22	ath	3	AT3G61300	AT3G61530	1
152	22	ath	1	AT1G01510	AT1G01740	2
153	22	ath	4	AT4G00700	AT4G01420	3
154	22	ath	1	AT1G63430	AT1G63950	4
155	22	ath	5	AT5G41180	AT5G41470	5
156	22	ath	1	AT1G65880	AT1G66360	6
157	22	ath	2	AT2G01540	AT2G02220	7
158	23	ath	2	AT2G45830	AT2G46030	0
159	23	ath	3	AT3G61270	AT3G61440	1
160	23	ath	1	AT1G01600	AT1G01740	2
161	23	ath	4	AT4G00700	AT4G01420	3
162	23	ath	1	AT1G63410	AT1G63800	4
163	23	ath	5	AT5G41170	AT5G41340	5
164	23	ath	1	AT1G65870	AT1G66190	6
165	23	ath	2	AT2G16740	AT2G17140	7
166	24	ath	2	AT2G46040	AT2G46510	0
167	24	ath	3	AT3G61460	AT3G61820	1
168	24	ath	1	AT1G01260	AT1G01570	2
169	24	ath	4	AT4G00980	AT4G01290	3
170	24	ath	1	AT1G63810	AT1G64490	4
171	24	ath	4	AT4G10920	AT4G11400	5
172	25	ath	2	AT2G45850	AT2G46160	0
173	25	ath	3	AT3G61300	AT3G61550	1
174	25	ath	1	AT1G01470	AT1G01740	2
175	25	ath	4	AT4G00700	AT4G01420	3
176	25	ath	1	AT1G63430	AT1G64070	4
177	25	ath	4	AT4G11170	AT4G11610	5
178	26	ath	2	AT2G45890	AT2G46100	0
179	26	ath	3	AT3G61350	AT3G61510	1
180	26	ath	1	AT1G01480	AT1G01710	2
181	26	ath	4	AT4G00730	AT4G01420	3
182	26	ath	1	AT1G63520	AT1G63980	4
183	26	ath	4	AT4G11280	AT4G11560	5
184	26	ath	4	AT4G00238	AT4G00510	6
185	27	ath	2	AT2G45920	AT2G46130	0
186	27	ath	3	AT3G61400	AT3G61530	1
187	27	ath	1	AT1G01480	AT1G01660	2
188	27	ath	4	AT4G00770	AT4G01420	3
189	27	ath	1	AT1G63670	AT1G64000	4
190	27	ath	4	AT4G11260	AT4G11420	5
191	27	ath	2	AT2G36690	AT2G37260	6
192	28	ath	2	AT2G45960	AT2G46570	0
193	28	ath	3	AT3G61420	AT3G61840	1
194	28	ath	1	AT1G01230	AT1G01630	2
195	28	ath	4	AT4G00955	AT4G01320	3
196	28	ath	1	AT1G63700	AT1G64580	4
197	28	ath	1	AT1G22180	AT1G22985	5
198	29	ath	2	AT2G45900	AT2G46300	0
199	29	ath	3	AT3G61360	AT3G61610	1
200	29	ath	1	AT1G01450	AT1G01690	2
201	29	ath	4	AT4G00770	AT4G01420	3
202	29	ath	1	AT1G63630	AT1G64310	4
203	29	ath	4	AT4G19220	AT4G20090	5
204	30	ath	2	AT2G45890	AT2G46590	0
205	30	ath	3	AT3G61350	AT3G61850	1
206	30	ath	1	AT1G01230	AT1G01710	2
207	30	ath	4	AT4G00752	AT4G01420	3
208	30	ath	4	AT4G23040	AT4G24060	4
209	31	ath	2	AT2G45910	AT2G46160	0
210	31	ath	3	AT3G61410	AT3G61550	1
211	31	ath	1	AT1G01470	AT1G01660	2
212	31	ath	4	AT4G01240	AT4G01350	3
213	31	ath	4	AT4G23350	AT4G23580	4
214	31	ath	4	AT4G01910	AT4G02310	5
215	32	ath	2	AT2G45860	AT2G46270	0
216	32	ath	3	AT3G61320	AT3G61610	1
217	32	ath	1	AT1G01450	AT1G01730	2
218	32	ath	4	AT4G00720	AT4G01420	3
219	32	ath	1	AT1G67480	AT1G67890	4
220	33	ath	2	AT2G45590	AT2G46400	0
221	33	ath	3	AT3G61060	AT3G61680	1
222	33	ath	1	AT1G01400	AT1G01930	2
223	33	ath	4	AT4G11070	AT4G11890	3
224	34	ath	2	AT2G45820	AT2G46225	0
225	34	ath	3	AT3G61260	AT3G61580	1
226	34	ath	1	AT1G01460	AT1G01750	2
227	34	ath	4	AT4G11180	AT4G11630	3
228	34	ath	5	AT5G23750	AT5G24310	4
229	35	ath	2	AT2G45830	AT2G46780	0
230	35	ath	3	AT3G61270	AT3G61920	1
231	35	ath	1	AT1G01090	AT1G01740	2
232	35	ath	1	AT1G63420	AT1G64700	3
233	36	ath	2	AT2G45900	AT2G46180	0
234	36	ath	3	AT3G61360	AT3G61570	1
235	36	ath	1	AT1G01470	AT1G01690	2
236	36	ath	1	AT1G63630	AT1G64100	3
237	36	ath	1	AT1G18900	AT1G19290	4
238	37	ath	2	AT2G45990	AT2G46160	0
239	37	ath	3	AT3G61440	AT3G61550	1
240	37	ath	1	AT1G01470	AT1G01580	2
241	37	ath	1	AT1G63730	AT1G64070	3
242	37	ath	1	AT1G18950	AT1G19250	4
243	37	ath	1	AT1G56510	AT1G57630	5
244	38	ath	2	AT2G46495	AT2G46780	0
245	38	ath	3	AT3G61790	AT3G61920	1
246	38	ath	1	AT1G01090	AT1G01310	2
247	38	ath	1	AT1G64460	AT1G64700	3
248	38	ath	5	AT5G53360	AT5G53680	4
249	39	ath	2	AT2G45900	AT2G46080	0
250	39	ath	3	AT3G61360	AT3G61500	1
251	39	ath	1	AT1G01540	AT1G01690	2
252	39	ath	1	AT1G63630	AT1G63910	3
253	39	ath	4	AT4G21170	AT4G21440	4
254	40	ath	2	AT2G45750	AT2G46040	0
255	40	ath	3	AT3G61150	AT3G61470	1
256	40	ath	1	AT1G01570	AT1G01810	2
257	40	ath	4	AT4G00300	AT4G00740	3
258	41	ath	2	AT2G45820	AT2G46040	0
259	41	ath	3	AT3G61250	AT3G61450	1
260	41	ath	1	AT1G01580	AT1G01760	2
261	41	ath	4	AT4G00315	AT4G00590	3
262	41	ath	4	AT4G13480	AT4G13965	4
263	42	ath	2	AT2G45680	AT2G46300	0
264	42	ath	3	AT3G61090	AT3G61620	1
265	42	ath	1	AT1G01450	AT1G01860	2
266	42	ath	5	AT5G41030	AT5G41730	3
267	43	ath	2	AT2G46530	AT2G46700	0
268	43	ath	3	AT3G61830	AT3G61900	1
269	43	ath	1	AT1G01140	AT1G01250	2
270	43	ath	4	AT4G39780	AT4G40010	3
271	44	ath	2	AT2G45820	AT2G46510	0
272	44	ath	3	AT3G61250	AT3G61810	1
273	44	ath	4	AT4G00870	AT4G01680	2
274	45	ath	2	AT2G40830	AT2G41360	0
275	45	ath	3	AT3G56580	AT3G57110	1
276	45	ath	3	AT3G10510	AT3G10815	2
277	46	ath	2	AT2G40880	AT2G41330	0
278	46	ath	3	AT3G56610	AT3G57070	1
279	46	ath	3	AT3G10525	AT3G10800	2
280	46	ath	5	AT5G04470	AT5G05260	3
281	47	ath	2	AT2G45650	AT2G46050	0
282	47	ath	3	AT3G61080	AT3G61480	1
283	47	ath	2	AT2G02750	AT2G03060	2
284	48	ath	2	AT2G45720	AT2G46050	0
285	48	ath	3	AT3G61170	AT3G61480	1
286	48	ath	2	AT2G02750	AT2G02990	2
287	48	ath	1	AT1G14210	AT1G14470	3
288	49	ath	2	AT2G46910	AT2G47220	0
289	49	ath	3	AT3G62020	AT3G62300	1
290	49	ath	1	AT1G09320	AT1G09560	2
291	50	ath	2	AT2G42980	AT2G43480	0
292	50	ath	3	AT3G59080	AT3G59550	1
293	50	ath	1	AT1G77100	AT1G77480	2
294	51	ath	2	AT2G43040	AT2G43340	0
295	51	ath	3	AT3G59110	AT3G59470	1
296	51	ath	4	AT4G12850	AT4G13190	2
297	52	ath	1	AT1G72180	AT1G78270	0
298	52	ath	1	AT1G17230	AT1G22340	1
299	53	ath	1	AT1G75800	AT1G76500	0
300	53	ath	1	AT1G20030	AT1G20900	1
301	53	ath	4	AT4G35390	AT4G36000	2
302	54	ath	1	AT1G75800	AT1G76490	0
303	54	ath	1	AT1G20030	AT1G20890	1
304	54	ath	4	AT4G35400	AT4G36000	2
305	54	ath	2	AT2G17370	AT2G17860	3
306	55	ath	1	AT1G76030	AT1G76410	0
307	55	ath	1	AT1G20260	AT1G20823	1
308	55	ath	4	AT4G35480	AT4G35810	2
309	55	ath	2	AT2G17450	AT2G17720	3
310	55	ath	4	AT4G38140	AT4G38510	4
311	56	ath	1	AT1G72200	AT1G72730	0
312	56	ath	1	AT1G17260	AT1G17510	1
313	56	ath	1	AT1G53770	AT1G54280	2
314	57	ath	1	AT1G72200	AT1G72700	0
315	57	ath	1	AT1G17280	AT1G17500	1
316	57	ath	1	AT1G53820	AT1G54280	2
317	57	ath	3	AT3G13900	AT3G14320	3
318	58	ath	1	AT1G73450	AT1G73875	0
319	58	ath	1	AT1G18040	AT1G18420	1
320	58	ath	3	AT3G17750	AT3G18500	2
321	59	ath	1	AT1G73470	AT1G73810	0
322	59	ath	1	AT1G18050	AT1G18360	1
323	59	ath	3	AT3G17770	AT3G18300	2
324	59	ath	1	AT1G48430	AT1G48780	3
325	60	ath	1	AT1G76270	AT1G77010	0
326	60	ath	1	AT1G20550	AT1G21410	1
327	60	ath	1	AT1G52630	AT1G53600	2
328	61	ath	1	AT1G76290	AT1G77010	0
329	61	ath	1	AT1G20575	AT1G21410	1
330	61	ath	1	AT1G52660	AT1G53600	2
331	61	ath	3	AT3G15130	AT3G15700	3
332	62	ath	1	AT1G76590	AT1G77010	0
333	62	ath	1	AT1G21000	AT1G21410	1
334	62	ath	1	AT1G53165	AT1G53600	2
335	62	ath	3	AT3G15130	AT3G15250	3
336	62	ath	1	AT1G43000	AT1G43980	4
337	63	ath	1	AT1G76390	AT1G76610	0
338	63	ath	1	AT1G20780	AT1G21050	1
339	63	ath	1	AT1G52790	AT1G53170	2
340	63	ath	3	AT3G15210	AT3G15550	3
341	63	ath	1	AT1G03400	AT1G03800	4
342	64	ath	1	AT1G78070	AT1G78160	0
343	64	ath	1	AT1G22190	AT1G22240	1
344	64	ath	1	AT1G35730	AT1G36070	2
345	65	ath	1	AT1G74760	AT1G75220	0
346	65	ath	1	AT1G18900	AT1G19450	1
347	65	ath	1	AT1G79080	AT1G79820	2
348	66	ath	1	AT1G74800	AT1G75170	0
349	66	ath	1	AT1G18950	AT1G19397	1
350	66	ath	1	AT1G79130	AT1G79700	2
351	66	ath	1	AT1G16060	AT1G16510	3
352	67	ath	1	AT1G74760	AT1G75190	0
353	67	ath	1	AT1G18900	AT1G19410	1
354	67	ath	1	AT1G79080	AT1G79740	2
355	67	ath	3	AT3G48810	AT3G49480	3
356	68	ath	1	AT1G74760	AT1G74970	0
357	68	ath	1	AT1G18900	AT1G19270	1
358	68	ath	1	AT1G79080	AT1G79740	2
359	68	ath	3	AT3G48810	AT3G49220	3
360	68	ath	5	AT5G61680	AT5G62370	4
361	69	ath	1	AT1G72830	AT1G73000	0
362	69	ath	1	AT1G17590	AT1G17700	1
363	69	ath	3	AT3G13710	AT3G14020	2
364	70	ath	1	AT1G74360	AT1G74540	0
365	70	ath	1	AT1G18690	AT1G18790	1
366	70	ath	5	AT5G61320	AT5G61480	2
367	71	ath	1	AT1G77760	AT1G77950	0
368	71	ath	1	AT1G21990	AT1G22130	1
369	71	ath	2	AT2G26030	AT2G26320	2
370	72	ath	1	AT1G75720	AT1G75850	0
371	72	ath	1	AT1G19960	AT1G20090	1
372	72	ath	3	AT3G51220	AT3G51310	2
373	73	ath	2	AT2G28010	AT2G33370	0
374	73	ath	1	AT1G04480	AT1G08210	1
375	74	ath	2	AT2G28460	AT2G29670	0
376	74	ath	1	AT1G07280	AT1G07920	1
377	74	ath	3	AT3G45610	AT3G47080	2
378	75	ath	2	AT2G28510	AT2G29620	0
379	75	ath	1	AT1G07330	AT1G07890	1
380	75	ath	3	AT3G45610	AT3G46950	2
381	75	ath	5	AT5G58880	AT5G60200	3
382	76	ath	2	AT2G28810	AT2G29605	0
383	76	ath	1	AT1G07340	AT1G07640	1
384	76	ath	3	AT3G46470	AT3G46950	2
385	76	ath	5	AT5G58900	AT5G59560	3
386	76	ath	2	AT2G37590	AT2G38090	4
387	77	ath	2	AT2G28820	AT2G29570	0
388	77	ath	1	AT1G07370	AT1G07630	1
389	77	ath	3	AT3G46480	AT3G46910	2
390	77	ath	5	AT5G58970	AT5G59550	3
391	77	ath	2	AT2G37600	AT2G38020	4
392	77	ath	3	AT3G53740	AT3G54110	5
393	78	ath	2	AT2G28820	AT2G29500	0
394	78	ath	1	AT1G07400	AT1G07630	1
395	78	ath	3	AT3G46480	AT3G46860	2
396	78	ath	5	AT5G59080	AT5G59550	3
397	78	ath	2	AT2G37600	AT2G37880	4
398	78	ath	3	AT3G53740	AT3G53930	5
399	78	ath	5	AT5G02020	AT5G02450	6
400	79	ath	2	AT2G28810	AT2G29590	0
401	79	ath	1	AT1G07350	AT1G07640	1
402	79	ath	3	AT3G46470	AT3G46920	2
403	79	ath	5	AT5G58950	AT5G59560	3
404	79	ath	2	AT2G37590	AT2G38040	4
405	79	ath	5	AT5G01850	AT5G02460	5
406	80	ath	2	AT2G28920	AT2G29500	0
407	80	ath	1	AT1G07400	AT1G07600	1
408	80	ath	3	AT3G46570	AT3G46840	2
409	80	ath	5	AT5G59090	AT5G59450	3
410	80	ath	2	AT2G37640	AT2G37890	4
411	80	ath	2	AT2G39640	AT2G39850	5
412	81	ath	2	AT2G28920	AT2G29420	0
413	81	ath	1	AT1G07410	AT1G07600	1
414	81	ath	3	AT3G46570	AT3G46830	2
415	81	ath	5	AT5G59140	AT5G59450	3
416	81	ath	2	AT2G37640	AT2G37890	4
417	81	ath	2	AT2G39640	AT2G39840	5
418	81	ath	3	AT3G55430	AT3G55640	6
419	82	ath	2	AT2G28690	AT2G29500	0
420	82	ath	1	AT1G07400	AT1G07795	1
421	82	ath	3	AT3G45920	AT3G46840	2
422	82	ath	5	AT5G59090	AT5G59910	3
423	82	ath	2	AT2G39110	AT2G39850	4
424	83	ath	2	AT2G28580	AT2G28725	0
425	83	ath	1	AT1G07730	AT1G07870	1
426	83	ath	3	AT3G45740	AT3G46130	2
427	83	ath	5	AT5G59780	AT5G60100	3
428	83	ath	5	AT5G02320	AT5G02810	4
429	84	ath	2	AT2G28600	AT2G28725	0
430	84	ath	1	AT1G07730	AT1G07850	1
431	84	ath	3	AT3G45755	AT3G46120	2
432	84	ath	5	AT5G59790	AT5G60070	3
433	84	ath	5	AT5G02400	AT5G02730	4
434	84	ath	3	AT3G09400	AT3G09590	5
435	85	ath	2	AT2G28620	AT2G28725	0
436	85	ath	1	AT1G07730	AT1G07820	1
437	85	ath	3	AT3G45830	AT3G46070	2
438	85	ath	5	AT5G59820	AT5G59970	3
439	85	ath	5	AT5G02502	AT5G02600	4
440	85	ath	3	AT3G53600	AT3G53730	5
441	86	ath	2	AT2G29020	AT2G29390	0
442	86	ath	1	AT1G07420	AT1G07520	1
443	86	ath	3	AT3G46600	AT3G46790	2
444	86	ath	5	AT5G59200	AT5G59420	3
445	86	ath	4	AT4G22540	AT4G22760	4
446	87	ath	2	AT2G28790	AT2G29220	0
447	87	ath	1	AT1G07460	AT1G07640	1
448	87	ath	3	AT3G46460	AT3G46760	2
449	87	ath	3	AT3G55370	AT3G55550	3
450	88	ath	2	AT2G28820	AT2G29130	0
451	88	ath	1	AT1G07490	AT1G07630	1
452	88	ath	3	AT3G46480	AT3G46650	2
453	88	ath	5	AT5G58660	AT5G58910	3
454	89	ath	2	AT2G28625	AT2G30210	0
455	89	ath	1	AT1G07000	AT1G07820	1
456	89	ath	5	AT5G58430	AT5G59970	2
457	90	ath	2	AT2G28620	AT2G30360	0
458	90	ath	1	AT1G06930	AT1G07830	1
459	90	ath	2	AT2G37390	AT2G38490	2
460	91	ath	2	AT2G28700	AT2G30210	0
461	91	ath	1	AT1G07000	AT1G07740	1
462	91	ath	2	AT2G37430	AT2G38450	2
463	91	ath	5	AT5G05360	AT5G06400	3
464	92	ath	2	AT2G29380	AT2G29570	0
465	92	ath	1	AT1G07370	AT1G07430	1
466	92	ath	2	AT2G37730	AT2G38240	2
467	92	ath	5	AT5G05600	AT5G06000	3
468	92	ath	3	AT3G11180	AT3G11400	4
469	93	ath	2	AT2G29510	AT2G30010	0
470	93	ath	1	AT1G07170	AT1G07390	1
471	93	ath	2	AT2G37930	AT2G38320	2
472	93	ath	5	AT5G01030	AT5G01360	3
473	94	ath	2	AT2G29920	AT2G30250	0
474	94	ath	1	AT1G06970	AT1G07210	1
475	94	ath	2	AT2G38240	AT2G38470	2
476	94	ath	5	AT5G07100	AT5G07480	3
477	95	ath	2	AT2G28270	AT2G28950	0
478	95	ath	1	AT1G07550	AT1G08050	1
479	95	ath	3	AT3G54780	AT3G55500	2
480	96	ath	2	AT2G28625	AT2G29220	0
481	96	ath	1	AT1G07460	AT1G07820	1
482	96	ath	5	AT5G59690	AT5G60270	2
483	97	ath	2	AT2G28590	AT2G29220	0
484	97	ath	1	AT1G07460	AT1G07870	1
485	97	ath	3	AT3G15890	AT3G16530	2
486	98	ath	2	AT2G28590	AT2G29180	0
487	98	ath	1	AT1G07470	AT1G07870	1
488	98	ath	3	AT3G15890	AT3G16500	2
489	98	ath	1	AT1G51950	AT1G52540	3
490	99	ath	2	AT2G28660	AT2G28740	0
491	99	ath	1	AT1G07660	AT1G07780	1
492	99	ath	3	AT3G53530	AT3G53730	2
493	100	ath	2	AT2G28200	AT2G28400	0
494	100	ath	1	AT1G07980	AT1G08090	1
495	100	ath	3	AT3G45060	AT3G45210	2
496	101	ath	2	AT2G29970	AT2G30220	0
497	101	ath	1	AT1G06990	AT1G07200	1
498	101	ath	2	AT2G40130	AT2G40250	2
499	102	ath	3	AT3G17140	AT3G21670	0
500	102	ath	1	AT1G47960	AT1G52190	1
501	103	ath	3	AT3G18773	AT3G18900	0
502	103	ath	1	AT1G49200	AT1G49410	1
503	103	ath	5	AT5G47380	AT5G47610	2
504	104	ath	3	AT3G18773	AT3G18880	0
505	104	ath	1	AT1G49200	AT1G49400	1
506	104	ath	5	AT5G47435	AT5G47610	2
507	104	ath	4	AT4G17245	AT4G17360	3
508	105	ath	4	AT4G34370	AT4G36810	0
509	105	ath	2	AT2G16090	AT2G18620	1
510	106	ath	4	AT4G35770	AT4G36500	0
511	106	ath	2	AT2G17700	AT2G18210	1
512	106	ath	5	AT5G66040	AT5G66490	2
513	107	ath	4	AT4G36130	AT4G36500	0
514	107	ath	2	AT2G18020	AT2G18210	1
515	107	ath	5	AT5G66280	AT5G66490	2
516	107	ath	3	AT3G50900	AT3G51190	3
517	108	ath	4	AT4G36110	AT4G36500	0
518	108	ath	2	AT2G18010	AT2G18210	1
519	108	ath	3	AT3G50900	AT3G51200	2
520	109	ath	4	AT4G34490	AT4G34870	0
521	109	ath	2	AT2G16260	AT2G16600	1
522	109	ath	2	AT2G21130	AT2G21660	2
523	110	ath	4	AT4G34730	AT4G35480	0
524	110	ath	2	AT2G16520	AT2G17450	1
525	110	ath	2	AT2G18650	AT2G19610	2
526	111	ath	4	AT4G34820	AT4G35470	0
527	111	ath	2	AT2G16586	AT2G17442	1
528	111	ath	2	AT2G18660	AT2G19570	2
529	111	ath	4	AT4G29570	AT4G30380	3
530	112	ath	4	AT4G35270	AT4G35380	0
531	112	ath	2	AT2G17140	AT2G17360	1
532	112	ath	2	AT2G18750	AT2G18990	2
533	112	ath	4	AT4G30160	AT4G30320	3
534	112	ath	5	AT5G57320	AT5G57580	4
535	113	ath	4	AT4G35170	AT4G35450	0
536	113	ath	2	AT2G17030	AT2G17390	1
537	113	ath	2	AT2G18710	AT2G19170	2
538	113	ath	5	AT5G11940	AT5G12320	3
539	114	ath	4	AT4G34870	AT4G35010	0
540	114	ath	2	AT2G16600	AT2G16730	1
541	114	ath	4	AT4G38590	AT4G38740	2
542	115	ath	4	AT4G35060	AT4G35130	0
543	115	ath	2	AT2G16790	AT2G16930	1
544	115	ath	4	AT4G39530	AT4G39700	2
545	116	ath	3	AT3G09930	AT3G12900	0
546	116	ath	5	AT5G03590	AT5G07690	1
547	117	ath	3	AT3G12145	AT3G12570	0
548	117	ath	5	AT5G06820	AT5G07150	1
549	117	ath	2	AT2G23630	AT2G24370	2
550	118	ath	3	AT3G12145	AT3G12370	0
551	118	ath	5	AT5G06839	AT5G07060	1
552	118	ath	2	AT2G23910	AT2G24330	2
553	118	ath	4	AT4G30420	AT4G31080	3
554	119	ath	3	AT3G12145	AT3G12720	0
555	119	ath	5	AT5G06870	AT5G07300	1
556	119	ath	5	AT5G48940	AT5G49330	2
557	120	ath	3	AT3G10030	AT3G10410	0
558	120	ath	5	AT5G03730	AT5G04330	1
