id	multiplicon	genome	list	first	last	order
105	18	vvi	chr18	VV18G04140	VV18G04360	2
106	18	ath	1	AT1G77890	AT1G78050	3
107	18	ath	1	AT1G22100	AT1G22180	4
108	18	ptr	LG_VII	PT07G05370	PT07G05610	5
109	18	ptr	LG_V	PT05G01850	PT05G02140	6
110	18	vvi	chr7	VV07G11500	VV07G11970	7
111	18	ath	4	AT4G08540	AT4G08690	8
112	19	ptr	LG_V	PT05G07830	PT05G07910	0
113	19	ptr	LG_II	PT02G08720	PT02G08800	1
114	19	vvi	chr18	VV18G04170	VV18G04300	2
115	19	ath	1	AT1G77950	AT1G78020	3
116	19	ath	1	AT1G22120	AT1G22160	4
117	19	ptr	LG_VII	PT07G05400	PT07G05560	5
118	19	ptr	LG_V	PT05G01910	PT05G02080	6
119	19	vvi	chr7	VV07G11620	VV07G11930	7
120	19	ath	4	AT4G08555	AT4G08670	8
121	19	ath	4	AT4G39680	AT4G39795	9
122	20	ptr	LG_V	PT05G07830	PT05G07880	0
123	20	ptr	LG_II	PT02G08750	PT02G08800	1
124	20	vvi	chr18	VV18G04220	VV18G04300	2
125	20	ath	1	AT1G77960	AT1G78020	3
126	20	ath	1	AT1G22140	AT1G22160	4
127	20	ptr	LG_VII	PT07G05400	PT07G05480	5
128	20	ptr	LG_V	PT05G01910	PT05G01980	6
129	20	vvi	chr7	VV07G11620	VV07G11740	7
130	20	ath	4	AT4G39795	AT4G39830	8
131	21	ptr	LG_V	PT05G07750	PT05G07890	0
132	21	ptr	LG_II	PT02G08750	PT02G08910	1
133	21	vvi	chr18	VV18G04220	VV18G04430	2
134	21	ath	1	AT1G77960	AT1G78070	3
135	21	ath	1	AT1G22140	AT1G22180	4
136	21	ptr	LG_VII	PT07G05320	PT07G05490	5
137	21	ptr	LG_V	PT05G01790	PT05G02000	6
138	21	vvi	chr7	VV07G11440	VV07G11800	7
139	21	vvi	chrUn_random	VV00G49755	VV00G49900	8
140	22	ptr	LG_V	PT05G07760	PT05G07900	0
141	22	ptr	LG_II	PT02G08740	PT02G08890	1
142	22	vvi	chr18	VV18G04210	VV18G04400	2
143	22	ath	1	AT1G77950	AT1G78060	3
144	22	ath	1	AT1G22130	AT1G22180	4
145	22	ptr	LG_VII	PT07G05330	PT07G05510	5
146	22	ptr	LG_V	PT05G01810	PT05G02010	6
147	22	vvi	chr7	VV07G11460	VV07G11860	7
148	22	vvi	chrUn_random	VV00G36270	VV00G36390	8
149	23	ptr	LG_V	PT05G07760	PT05G07950	0
150	23	ptr	LG_II	PT02G08710	PT02G08890	1
151	23	vvi	chr18	VV18G04140	VV18G04420	2
152	23	ath	1	AT1G77890	AT1G78060	3
153	23	ath	1	AT1G22080	AT1G22180	4
154	23	ptr	LG_VII	PT07G05330	PT07G05660	5
155	23	ptr	LG_V	PT05G01800	PT05G02190	6
156	23	vvi	chr7	VV07G11450	VV07G12000	7
157	23	vvi	chr19	VV19G07440	VV19G08180	8
158	24	ptr	LG_V	PT05G07760	PT05G07950	0
159	24	ptr	LG_II	PT02G08710	PT02G08890	1
160	24	vvi	chr18	VV18G04140	VV18G04420	2
161	24	ath	1	AT1G77890	AT1G78060	3
162	24	ath	1	AT1G22080	AT1G22180	4
163	24	ptr	LG_VII	PT07G05330	PT07G05660	5
164	24	ptr	LG_V	PT05G01800	PT05G02190	6
165	24	vvi	chr7	VV07G11450	VV07G12000	7
166	24	vvi	chr19	VV19G07440	VV19G08180	8
167	24	ptr	LG_I	PT01G26620	PT01G27060	9
168	25	ptr	LG_V	PT05G07850	PT05G07950	0
169	25	ptr	LG_II	PT02G08710	PT02G08780	1
170	25	vvi	chr18	VV18G04140	VV18G04280	2
171	25	ath	1	AT1G77890	AT1G78010	3
172	25	ath	1	AT1G22080	AT1G22150	4
173	25	ptr	LG_VII	PT07G05430	PT07G05660	5
174	25	ptr	LG_V	PT05G01930	PT05G02190	6
175	25	vvi	chr7	VV07G11680	VV07G12000	7
176	25	vvi	chr19	VV19G07440	VV19G07990	8
177	25	ptr	LG_I	PT01G26620	PT01G26950	9
178	25	ptr	LG_XI	PT11G04710	PT11G05300	10
179	26	ptr	LG_V	PT05G07760	PT05G07900	0
180	26	ptr	LG_II	PT02G08750	PT02G08890	1
181	26	vvi	chr18	VV18G04220	VV18G04420	2
182	26	ath	1	AT1G77960	AT1G78060	3
183	26	ath	1	AT1G22140	AT1G22180	4
184	26	ptr	LG_VII	PT07G05330	PT07G05490	5
185	26	ptr	LG_V	PT05G01800	PT05G02000	6
186	26	vvi	chr7	VV07G11450	VV07G11840	7
187	26	vvi	chr19	VV19G07760	VV19G08180	8
188	26	ptr	LG_I	PT01G26820	PT01G27060	9
189	26	ptr	LG_XVI	PT16G00100	PT16G00310	10
190	27	ptr	LG_V	PT05G07760	PT05G07950	0
191	27	ptr	LG_II	PT02G08710	PT02G08890	1
192	27	vvi	chr18	VV18G04140	VV18G04420	2
193	27	ath	1	AT1G77890	AT1G78060	3
194	27	ath	1	AT1G22090	AT1G22180	4
195	27	ptr	LG_VII	PT07G05330	PT07G05600	5
196	27	ptr	LG_V	PT05G01800	PT05G02130	6
197	27	vvi	chr7	VV07G11450	VV07G11960	7
198	27	vvi	chr19	VV19G07570	VV19G08180	8
199	27	ptr	LG_I	PT01G26680	PT01G27060	9
200	27	vvi	chr12	VV12G07860	VV12G08410	10
201	28	ptr	LG_V	PT05G07800	PT05G07890	0
202	28	ptr	LG_II	PT02G08750	PT02G08820	1
203	28	vvi	chr18	VV18G04220	VV18G04320	2
204	28	ath	1	AT1G77960	AT1G78040	3
205	28	ath	1	AT1G22140	AT1G22170	4
206	28	ptr	LG_VII	PT07G05370	PT07G05490	5
207	28	ptr	LG_V	PT05G01870	PT05G02000	6
208	28	vvi	chr7	VV07G11550	VV07G11800	7
209	28	vvi	chrUn_random	VV00G24030	VV00G24145	8
210	29	ptr	LG_V	PT05G07830	PT05G07890	0
211	29	ptr	LG_II	PT02G08750	PT02G08800	1
212	29	vvi	chr18	VV18G04220	VV18G04300	2
213	29	ath	1	AT1G77960	AT1G78020	3
214	29	ath	1	AT1G22140	AT1G22160	4
215	29	ptr	LG_VII	PT07G05400	PT07G05490	5
216	29	ptr	LG_V	PT05G01910	PT05G02000	6
217	29	vvi	chr7	VV07G11600	VV07G11800	7
218	29	vvi	chrUn_random	VV00G24070	VV00G24145	8
219	29	vvi	chr18	VV18G09320	VV18G09570	9
220	30	ptr	LG_V	PT05G07830	PT05G07890	0
221	30	ptr	LG_II	PT02G08750	PT02G08800	1
222	30	vvi	chr18	VV18G04220	VV18G04300	2
223	30	ath	1	AT1G77960	AT1G78020	3
224	30	ath	1	AT1G22140	AT1G22160	4
225	30	ptr	LG_VII	PT07G05400	PT07G05490	5
226	30	ptr	LG_V	PT05G01910	PT05G02000	6
227	30	vvi	chr7	VV07G11600	VV07G11800	7
228	30	vvi	chrUn_random	VV00G24070	VV00G24145	8
229	30	ptr	scaffold_40	PT00G04775	PT00G04955	9
230	31	ptr	LG_V	PT05G07830	PT05G07890	0
231	31	ptr	LG_II	PT02G08750	PT02G08800	1
232	31	vvi	chr18	VV18G04220	VV18G04300	2
233	31	ath	1	AT1G77960	AT1G78020	3
234	31	ath	1	AT1G22140	AT1G22160	4
235	31	ptr	LG_VII	PT07G05400	PT07G05490	5
236	31	ptr	LG_V	PT05G01910	PT05G02000	6
237	31	vvi	chr7	VV07G11600	VV07G11800	7
238	31	vvi	chrUn_random	VV00G24070	VV00G24145	8
239	31	ptr	scaffold_40	PT00G04775	PT00G04955	9
240	31	ptr	scaffold_130	PT00G20680	PT00G20865	10
241	32	ptr	LG_V	PT05G07760	PT05G07910	0
242	32	ptr	LG_II	PT02G08720	PT02G08890	1
243	32	vvi	chr18	VV18G04170	VV18G04400	2
244	32	ath	1	AT1G77950	AT1G78060	3
245	32	ath	1	AT1G22120	AT1G22180	4
246	32	ptr	LG_VII	PT07G05330	PT07G05560	5
247	32	ptr	LG_V	PT05G01810	PT05G02090	6
248	32	vvi	chr7	VV07G11460	VV07G11930	7
249	32	ath	5	AT5G10060	AT5G10420	8
250	33	ptr	LG_V	PT05G07540	PT05G07910	0
251	33	ptr	LG_II	PT02G08720	PT02G09130	1
252	33	vvi	chr18	VV18G04170	VV18G04630	2
253	33	ath	1	AT1G77950	AT1G78190	3
254	33	ath	1	AT1G22120	AT1G22270	4
255	33	ptr	LG_VII	PT07G05050	PT07G05560	5
256	33	ptr	LG_V	PT05G01500	PT05G02080	6
257	33	ath	4	AT4G39680	AT4G39920	7
258	34	ptr	LG_V	PT05G07590	PT05G07750	0
259	34	ptr	LG_II	PT02G08910	PT02G09050	1
260	34	vvi	chr18	VV18G04430	VV18G04560	2
261	34	ath	1	AT1G78070	AT1G78160	3
262	34	ath	1	AT1G22190	AT1G22240	4
263	34	ptr	LG_VII	PT07G05130	PT07G05320	5
264	34	ptr	LG_V	PT05G01600	PT05G01790	6
265	34	ath	4	AT4G39770	AT4G39870	7
266	34	ath	1	AT1G35710	AT1G36070	8
267	35	ptr	LG_V	PT05G07630	PT05G07740	0
268	35	ptr	LG_II	PT02G08920	PT02G09000	1
269	35	vvi	chr18	VV18G04440	VV18G04510	2
270	35	ath	1	AT1G78080	AT1G78130	3
271	35	ath	1	AT1G22190	AT1G22230	4
272	35	ptr	LG_VII	PT07G05190	PT07G05310	5
273	35	ptr	LG_V	PT05G01670	PT05G01780	6
274	35	ath	4	AT4G39770	AT4G39840	7
275	35	ath	1	AT1G35820	AT1G36060	8
276	35	vvi	chr7_random	VV00G54460	VV00G54500	9
277	36	ptr	LG_V	PT05G07590	PT05G07750	0
278	36	ptr	LG_II	PT02G08910	PT02G09050	1
279	36	vvi	chr18	VV18G04430	VV18G04560	2
280	36	ath	1	AT1G78070	AT1G78160	3
281	36	ath	1	AT1G22190	AT1G22240	4
282	36	ptr	LG_VII	PT07G05130	PT07G05320	5
283	36	ptr	LG_V	PT05G01600	PT05G01790	6
284	36	ath	4	AT4G39770	AT4G39870	7
285	36	ath	1	AT1G35710	AT1G36070	8
286	36	ath	5	AT5G65010	AT5G65160	9
287	37	ptr	LG_V	PT05G07580	PT05G07770	0
288	37	ptr	LG_II	PT02G08860	PT02G09060	1
289	37	vvi	chr18	VV18G04370	VV18G04570	2
290	37	ath	1	AT1G78060	AT1G78160	3
291	37	ath	1	AT1G22190	AT1G22240	4
292	37	ptr	LG_VII	PT07G05100	PT07G05360	5
293	37	ptr	LG_V	PT05G01560	PT05G01840	6
294	37	ath	4	AT4G39770	AT4G39890	7
295	37	ath	5	AT5G65090	AT5G65270	8
296	38	ptr	LG_V	PT05G07680	PT05G07890	0
297	38	ptr	LG_II	PT02G08750	PT02G08960	1
298	38	vvi	chr18	VV18G04220	VV18G04480	2
299	38	ath	1	AT1G77960	AT1G78110	3
300	38	ath	1	AT1G22140	AT1G22230	4
301	38	ptr	LG_VII	PT07G05270	PT07G05490	5
302	38	ptr	LG_V	PT05G01730	PT05G02000	6
303	38	ath	4	AT4G39745	AT4G39830	7
304	38	ath	2	AT2G22170	AT2G22330	8
305	39	ptr	LG_V	PT05G07680	PT05G07950	0
306	39	ptr	LG_II	PT02G08710	PT02G08960	1
307	39	vvi	chr18	VV18G04140	VV18G04480	2
308	39	ath	1	AT1G77890	AT1G78110	3
309	39	ath	1	AT1G22080	AT1G22230	4
310	39	ptr	LG_VII	PT07G05270	PT07G05660	5
311	39	ptr	LG_V	PT05G01730	PT05G02190	6
312	39	ath	2	AT2G22090	AT2G22330	7
313	40	ptr	LG_V	PT05G07770	PT05G07910	0
314	40	ptr	LG_II	PT02G08720	PT02G08880	1
315	40	vvi	chr18	VV18G04190	VV18G04390	2
316	40	ath	1	AT1G77950	AT1G78050	3
317	40	ath	1	AT1G22130	AT1G22180	4
318	40	ptr	LG_VII	PT07G05340	PT07G05520	5
319	40	ptr	LG_V	PT05G01820	PT05G02030	6
320	40	ath	2	AT2G22140	AT2G22330	7
321	40	vvi	chr4	VV04G13400	VV04G13660	8
322	41	ptr	LG_V	PT05G07510	PT05G07950	0
323	41	ptr	LG_II	PT02G08710	PT02G09190	1
324	41	vvi	chr18	VV18G04140	VV18G04660	2
325	41	ath	1	AT1G77890	AT1G78200	3
326	41	ath	1	AT1G22070	AT1G22280	4
327	41	ptr	LG_VII	PT07G04970	PT07G05680	5
328	41	ath	5	AT5G64970	AT5G65240	6
329	42	ptr	LG_V	PT05G07740	PT05G08020	0
330	42	ptr	LG_II	PT02G08600	PT02G08920	1
331	42	vvi	chr18	VV18G04080	VV18G04440	2
332	42	ath	1	AT1G77870	AT1G78080	3
333	42	ath	1	AT1G22040	AT1G22190	4
334	42	ptr	LG_VII	PT07G05310	PT07G05700	5
335	42	vvi	chr7	VV07G11430	VV07G12060	6
336	43	ptr	LG_V	PT05G07590	PT05G07870	0
337	43	ptr	LG_II	PT02G08750	PT02G09050	1
338	43	vvi	chr18	VV18G04250	VV18G04570	2
339	43	ath	1	AT1G77990	AT1G78160	3
340	43	ath	1	AT1G22150	AT1G22240	4
341	43	ptr	LG_VII	PT07G05130	PT07G05450	5
342	43	ath	5	AT5G10020	AT5G10180	6
343	44	ptr	LG_V	PT05G07710	PT05G07910	0
344	44	ptr	LG_II	PT02G08720	PT02G08940	1
345	44	vvi	chr18	VV18G04160	VV18G04460	2
346	44	ath	1	AT1G77940	AT1G78090	3
347	44	ath	1	AT1G22120	AT1G22210	4
348	44	ptr	LG_VII	PT07G05290	PT07G05570	5
349	44	ath	1	AT1G35910	AT1G36240	6
350	45	ptr	LG_V	PT05G07590	PT05G08130	0
351	45	ptr	LG_II	PT02G08470	PT02G09050	1
352	45	vvi	chr18	VV18G03880	VV18G04560	2
353	45	ath	1	AT1G77840	AT1G78160	3
354	45	ath	1	AT1G22020	AT1G22240	4
355	45	ath	1	AT1G35710	AT1G36730	5
356	46	ptr	LG_V	PT05G07330	PT05G07570	0
357	46	ptr	LG_II	PT02G09070	PT02G09330	1
358	46	vvi	chr18	VV18G04580	VV18G04840	2
359	46	ath	1	AT1G78170	AT1G78270	3
360	46	ath	1	AT1G22250	AT1G22340	4
361	46	ath	1	AT1G34580	AT1G35140	5
362	47	ptr	LG_V	PT05G07360	PT05G07530	0
363	47	ptr	LG_II	PT02G09150	PT02G09300	1
364	47	vvi	chr18	VV18G04640	VV18G04790	2
365	47	ath	1	AT1G78200	AT1G78270	3
366	47	ath	1	AT1G22280	AT1G22340	4
367	47	ath	1	AT1G34670	AT1G34792	5
368	47	vvi	chr8	VV08G13990	VV08G14270	6
369	48	ptr	LG_V	PT05G07360	PT05G07530	0
370	48	ptr	LG_II	PT02G09150	PT02G09300	1
371	48	vvi	chr18	VV18G04640	VV18G04790	2
372	48	ath	1	AT1G78200	AT1G78270	3
373	48	ath	1	AT1G22280	AT1G22340	4
374	48	ath	1	AT1G34670	AT1G34792	5
375	48	vvi	chr8	VV08G13990	VV08G14270	6
376	48	ath	2	AT2G36750	AT2G36890	7
377	49	ptr	LG_V	PT05G07360	PT05G07530	0
378	49	ptr	LG_II	PT02G09150	PT02G09300	1
379	49	vvi	chr18	VV18G04640	VV18G04790	2
380	49	ath	1	AT1G78200	AT1G78270	3
381	49	ath	1	AT1G22280	AT1G22340	4
382	49	ath	1	AT1G34670	AT1G34792	5
383	49	vvi	chr8	VV08G13990	VV08G14270	6
384	49	ath	3	AT3G53150	AT3G53200	7
385	50	ptr	LG_V	PT05G07430	PT05G07530	0
386	50	ptr	LG_II	PT02G09150	PT02G09260	1
387	50	vvi	chr18	VV18G04640	VV18G04750	2
388	50	ath	1	AT1G78200	AT1G78240	3
389	50	ath	1	AT1G22280	AT1G22310	4
390	50	ath	1	AT1G34670	AT1G34780	5
391	50	vvi	chr8	VV08G14080	VV08G14270	6
392	50	ath	3	AT3G53170	AT3G53200	7
393	50	ptr	LG_XVII	PT17G03250	PT17G03560	8
394	51	ptr	LG_V	PT05G07520	PT05G07870	0
395	51	ptr	LG_II	PT02G08750	PT02G09160	1
396	51	vvi	chr18	VV18G04250	VV18G04650	2
397	51	ath	1	AT1G77990	AT1G78190	3
398	51	ath	1	AT1G22150	AT1G22270	4
399	51	ath	4	AT4G08620	AT4G08920	5
400	52	ptr	LG_V	PT05G07830	PT05G07950	0
401	52	ptr	LG_II	PT02G08710	PT02G08800	1
402	52	vvi	chr18	VV18G04140	VV18G04300	2
403	52	ath	1	AT1G77880	AT1G78020	3
404	52	ath	1	AT1G22060	AT1G22160	4
405	52	ath	4	AT4G39550	AT4G39795	5
406	53	ptr	LG_V	PT05G07580	PT05G07730	0
407	53	ptr	LG_II	PT02G08930	PT02G09060	1
408	53	vvi	chr18	VV18G04450	VV18G04570	2
409	53	ath	1	AT1G78090	AT1G78160	3
410	53	ath	1	AT1G22200	AT1G22240	4
411	53	vvi	chr12_random	VV00G56360	VV00G56465	5
412	54	ptr	LG_V	PT05G07590	PT05G08390	0
413	54	ptr	LG_II	PT02G08230	PT02G09050	1
414	54	vvi	chr18	VV18G03640	VV18G04560	2
415	54	ath	1	AT1G77720	AT1G78160	3
416	54	ath	1	AT1G35710	AT1G38065	4
417	55	ptr	LG_V	PT05G07290	PT05G08040	0
418	55	ptr	LG_II	PT02G08560	PT02G09450	1
419	55	vvi	chr18	VV18G04020	VV18G05060	2
420	55	ath	1	AT1G77870	AT1G78290	3
421	55	ptr	LG_V	PT05G01280	PT05G02210	4
422	56	ptr	LG_V	PT05G07310	PT05G07560	0
423	56	ptr	LG_II	PT02G09100	PT02G09400	1
424	56	vvi	chr18	VV18G04600	VV18G05010	2
425	56	ath	1	AT1G78172	AT1G78270	3
426	56	ptr	LG_V	PT05G01340	PT05G01540	4
427	56	vvi	chrUn_random	VV00G29455	VV00G29555	5
428	57	ptr	LG_V	PT05G07360	PT05G07570	0
429	57	ptr	LG_II	PT02G09070	PT02G09300	1
430	57	vvi	chr18	VV18G04580	VV18G04790	2
431	57	ath	1	AT1G78170	AT1G78270	3
432	57	ptr	LG_V	PT05G01400	PT05G01560	4
433	57	ath	5	AT5G59580	AT5G59840	5
434	58	ptr	LG_V	PT05G07290	PT05G07500	0
435	58	ptr	LG_II	PT02G09200	PT02G09450	1
436	58	vvi	chr18	VV18G04670	VV18G05060	2
437	58	ath	1	AT1G78210	AT1G78290	3
438	58	ptr	LG_V	PT05G01280	PT05G01430	4
439	58	ath	4	AT4G39952	AT4G40010	5
440	59	ptr	LG_V	PT05G07290	PT05G07370	0
441	59	ptr	LG_II	PT02G09300	PT02G09450	1
442	59	vvi	chr18	VV18G04780	VV18G05060	2
443	59	ath	1	AT1G78270	AT1G78290	3
444	59	ptr	LG_V	PT05G01280	PT05G01410	4
445	59	ath	4	AT4G39960	AT4G40010	5
446	59	ptr	LG_VII	PT07G04810	PT07G04940	6
447	60	ptr	LG_V	PT05G07290	PT05G07460	0
448	60	ptr	LG_II	PT02G09230	PT02G09450	1
449	60	vvi	chr18	VV18G04720	VV18G05060	2
450	60	ath	1	AT1G78230	AT1G78290	3
451	60	ptr	LG_V	PT05G01280	PT05G01420	4
452	60	ath	4	AT4G39960	AT4G40010	5
453	60	ptr	LG_XVI	PT16G04240	PT16G04520	6
454	61	ptr	LG_V	PT05G07290	PT05G07430	0
455	61	ptr	LG_II	PT02G09260	PT02G09450	1
456	61	vvi	chr18	VV18G04750	VV18G05060	2
457	61	ath	1	AT1G78240	AT1G78290	3
458	61	ptr	LG_V	PT05G01280	PT05G01410	4
459	61	ath	4	AT4G39960	AT4G40010	5
460	61	ptr	LG_XVI	PT16G04280	PT16G04520	6
461	61	ptr	LG_XV	PT15G10930	PT15G11140	7
462	62	ptr	LG_V	PT05G07360	PT05G07530	0
463	62	ptr	LG_II	PT02G09150	PT02G09300	1
464	62	vvi	chr18	VV18G04640	VV18G04790	2
465	62	ath	1	AT1G78200	AT1G78270	3
466	62	ptr	LG_V	PT05G01400	PT05G01480	4
467	62	vvi	chr19_random	VV00G64350	VV00G64440	5
468	63	ptr	LG_V	PT05G07300	PT05G07430	0
469	63	ptr	LG_II	PT02G09250	PT02G09430	1
470	63	vvi	chr18	VV18G04740	VV18G05040	2
471	63	ath	1	AT1G78240	AT1G78280	3
472	63	ptr	LG_V	PT05G01290	PT05G01410	4
473	63	vvi	chrUn_random	VV00G30865	VV00G30985	5
474	64	ptr	LG_V	PT05G07400	PT05G07580	0
475	64	ptr	LG_II	PT02G09050	PT02G09280	1
476	64	vvi	chr18	VV18G04570	VV18G04760	2
477	64	ath	1	AT1G78170	AT1G78260	3
478	64	ptr	LG_V	PT05G01410	PT05G01600	4
479	64	ath	5	AT5G40170	AT5G40490	5
480	65	ptr	LG_V	PT05G07430	PT05G07580	0
481	65	ptr	LG_II	PT02G09050	PT02G09260	1
482	65	vvi	chr18	VV18G04570	VV18G04750	2
483	65	ath	1	AT1G78170	AT1G78240	3
484	65	ptr	LG_V	PT05G01420	PT05G01600	4
485	65	ath	5	AT5G40170	AT5G40480	5
486	65	vvi	chr1	VV01G00400	VV01G00790	6
487	66	ptr	LG_V	PT05G07310	PT05G07510	0
488	66	ptr	LG_II	PT02G09180	PT02G09400	1
489	66	vvi	chr18	VV18G04660	VV18G05010	2
490	66	ath	1	AT1G78200	AT1G78270	3
491	66	ptr	LG_V	PT05G01330	PT05G01450	4
492	66	ath	1	AT1G17540	AT1G17840	5
493	67	ptr	LG_V	PT05G07360	PT05G07580	0
494	67	ptr	LG_II	PT02G09060	PT02G09300	1
495	67	vvi	chr18	VV18G04580	VV18G04790	2
496	67	ath	1	AT1G78170	AT1G78270	3
497	67	ptr	LG_V	PT05G01400	PT05G01570	4
498	67	vvi	chrUn_random	VV00G46990	VV00G47150	5
499	68	ptr	LG_V	PT05G07290	PT05G07470	0
500	68	ptr	LG_II	PT02G09220	PT02G09450	1
501	68	vvi	chr18	VV18G04700	VV18G05060	2
502	68	ath	1	AT1G78230	AT1G78290	3
503	68	ptr	LG_V	PT05G01280	PT05G01420	4
504	68	vvi	chr15	VV15G04280	VV15G04530	5
